iter	Passed	Remaining
0	1	109
1	2	102
2	2	96
3	3	92
4	4	87
5	5	91
6	6	91
7	7	89
8	8	86
9	9	84
10	10	82
11	11	84
12	12	82
13	13	81
14	14	80
15	15	79
16	16	78
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	72
24	23	71
25	24	69
26	25	68
27	25	66
28	26	65
29	27	63
30	27	62
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
